Tweet_count,Name,Text,Retweets,Likes,Date
92,tvn24,"Niespełna tydzień przed majowymi wyborami na antenach TVN24, Polsat News i TVP odbędzie się debata prezydencka, na którą zaproszono wszystkich zarejestrowanych kandydatów. https://t.co/Cv99Pp9MWe",41,149
93,Joanna Czajka,Kochani trudne czasy i tematy. Przed bami bardzo ważne Wybory Prezydenckie 2025 #Trzaskowski2025  #KobietyNaWybory2025 #WYBIERZMYMĄDRZE2025 https://t.co/oM1tQ7DDrK,5,6
94,Dr Michał Peno,Dziś w Szczecinie Unia Pracy zbierała podpisy za Magdaleną Biejat - wybory prezydenckie 2025. https://t.co/619qVmSHph,1,2
95,Bertold Kittel,"Wybory prezydenckie 2025. Kandydat PiS, Karol Nawrocki, jako prezes IPN i dyrektor Muzeum II Wojny Światowej zjeździł świat. Fortuna na wyjazdy. Mówi się o towarzystwie kobiety: „Hawaje, Japonia, Chiny, Australia, Nowa Zelandia” https://t.co/sP9w8TbL9U",53,160
96,Interia,Wybory prezydenckie 2025. Szymon Hołownia przedstawił swój program wyborczy. Zawiera osiem punktów. https://t.co/QtBL3fChfW,1,1
97,Berenika M,"Tłok do prezydenckiego fotela. Kandydaci nieznani liczą chyba tylko na to, że wygrani w pierwszej turze będą z nimi negocjować w sprawie poparcia. Jest 11 kandydatów w #Wybory2025 . Termin minął dzisiaj ale jeszcze PKW niektóre kandydatury rozpatruje. https://t.co/b71BOxUHW3",0,0
98,Radomir Wit,"📍I tura wyborów prezydenckich - 18 maja , II tura - 1 czerwca.",82,953
99,Mateusz 𝘔𝘢𝘵𝘦𝘰 Rędzioch 🇵🇱 🇪🇺 ❤️ 🇺🇦,"#czytałem: https://t.co/27QO5O8BSY Adrian Zandberg: wybory prezydenckie 2025: gospodarka, USA i Mentzen oraz Nawrocki | Imponderabilia",0,0
100,Wszystko Co Najważniejsze,🔴 Kto wygra wybory 2025 • Wszystko co najważniejsze ⤵️ https://t.co/oFIripDG68,1,3
101,Eryk Mistewicz 🇵🇱🇫🇷🇺🇸,Lubię czytać ⁦@marcin_kedryna⁩ nawet jeśli w połowie wniosków co do obecnej kampanii prezydenckiej się z nim nie zgadzam.   Marcin KĘDRYNA: Kto wygra wybory prezydenckie w 2025? https://t.co/ooPZlH4HVL,7,16
102,Krzysztof 🇵🇱,"W 2005 roku „sondaże” w cuglach dawały zwycięstwo Donaldowi Tuskowi. W 2015 Komorowski miał wygrać w I turze z wynikiem 65%. Teraz kartel medialny Tuska mówi, że #Nawrocki2025 nie będzie w II turze. Dekady mijają a bezczelność tub medialnych Tuska taka sama. 18 maja zwyciężymy✌️ https://t.co/6kTropeVLQ",158,446
103,𝕸𝖎𝖈𝖍𝖆ł ✝️🇵🇱⚓#𝕶𝖔𝖙𝖜𝖎𝖈𝖆𝕳𝖎𝖘𝖙𝖔𝖗𝖎𝖎,#KotwicaHistorii  #WyboryPrezydenckie2025 04.04.2025 r. TV Republika zorganizuje debatę prezydencką. Poznaliśmy termin... https://t.co/5W8GnhG9Lb,5,5
104,Greg Zabrisky,"Karol NAWROCKI - ""Liberałowie są oderwani od rzeczywistości""  https://t.co/h8AuwaHdMZ",5,8
105,Always Right,"@Hanna_Machinska 1. Od 20 lat siejecie mowę nienawiści. Zaczęło się w 2025 roku, gdy wybory parlamentarne wygrał PiS, a prezydenckie Lech Kaczyński. Zaczęło się od naśmiewania z kaczek, tworzenia memów, potem był TU POLEJ,z którego ta progresywna Polska miała kupę śmiechu, tłumacząc to tym,",0,3
106,Wieści24.pl,"Wybory prezydenckie: Trzaskowski na czele, PiS już przegrał, upadek Mentzena. Rozliczenia zbliżają się wielkimi krokami https://t.co/UQS4dpbVqK",11,23
